Date,Open,High,Low,Close,Volume
Feb12022,38481.77,39115.13,38113.66,38743.27,20288500328
Jan312022,37920.28,38647.26,36733.57,38483.13,20734730465
Jan302022,38151.92,38266.34,37437.71,37917.6,14643548444
Jan292022,37780.71,38576.26,37406.47,38138.18,17194183075
Jan282022,37128.45,37952.88,36211.11,37784.33,22238830523
Jan272022,36841.88,37148.32,35629.28,37138.23,25041426629
Jan262022,36950.52,38825.41,36374.91,36852.12,31324598034
Jan252022,36654.8,37444.57,35779.43,36954,26428189594
Jan242022,36275.73,37247.52,33184.06,36654.33,41856658597
Jan232022,35047.36,36433.31,34784.97,36276.8,26017975951
Jan222022,36471.59,36688.81,34349.25,35030.25,39714385405
Jan212022,40699.61,41060.53,35791.43,36457.32,43011992031
Jan202022,41744.03,43413.02,40672.82,40680.42,20382033940
Jan192022,42374.04,42478.3,41242.91,41744.33,23091543258
Jan182022,42250.07,42534.4,41392.21,42375.63,22417209227
Jan172022,43118.12,43179.39,41680.32,42250.55,21690904261
Jan162022,43172.04,43436.81,42691.02,43113.88,17902097845
Jan152022,43101.9,43724.67,42669.04,43177.4,18371348298
Jan142022,42598.87,43346.69,41982.62,43099.7,23577403399
Jan132022,43946.74,44278.42,42447.04,42591.57,47691135082
Jan122022,42742.18,44135.37,42528.99,43949.1,33499938689
Jan112022,41819.51,43001.16,41407.75,42735.86,26327648900
Jan102022,41910.23,42199.48,39796.57,41821.26,32104232331
Jan92022,41734.73,42663.95,41338.16,41911.6,21294384372
Jan82022,41561.46,42228.94,40672.28,41733.94,28066355845
Jan72022,43153.57,43153.57,41077.45,41557.9,84196607520
Jan62022,43565.51,43748.72,42645.54,43160.93,30208048289
Jan52022,45899.36,46929.05,42798.22,43569,36851084859
Jan42022,46458.85,47406.55,45752.46,45897.57,42494677905
Jan32022,47343.54,47510.73,45835.96,46458.12,33071628362
Jan22022,47680.93,47881.41,46856.94,47345.22,27951569547
Jan12022,46311.75,47827.31,46288.48,47686.81,24582667004
Dec312021,47169.37,48472.53,45819.95,46306.45,36974172400
Dec302021,46490.61,47879.96,46060.31,47178.13,26686491018
Dec292021,47623.87,48119.74,46201.5,46444.71,30049226299
Dec282021,50679.86,50679.86,47414.21,47588.86,33430376883
Dec272021,50802.61,51956.33,50499.47,50640.42,24324345758
Dec262021,50428.69,51196.38,49623.11,50809.52,20964372926
Dec252021,50854.92,51176.6,50236.71,50429.86,19030650914
Dec242021,50806.05,51814.03,50514.5,50822.2,24367912228
Dec232021,48626.34,51332.34,48065.84,50784.54,28223878108
Dec222021,48937.1,49544.8,48450.94,48628.51,24447979559
Dec212021,46886.08,49300.92,46698.77,48936.61,27055803928
Dec202021,46707.06,47401.72,45579.81,46880.28,30961902129
Dec192021,46853.87,48089.66,46502.95,46707.02,25154053861
Dec182021,46219.25,47313.83,45598.44,46848.78,26098292690
Dec172021,47653.73,48004.89,45618.21,46202.14,32902725329
Dec162021,48900.46,49425.57,47529.88,47665.43,27268150947
Dec152021,48379.75,49473.96,46671.96,48896.72,36541828520
Dec142021,46709.82,48431.4,46424.5,46612.63,34638619079
Dec132021,50114.74,50205,45894.85,46737.48,32166727776
Dec122021,49354.86,50724.87,48725.85,50098.34,21939223599
Dec112021,47264.63,49458.21,46942.35,49362.51,25775869261
Dec102021,47642.14,50015.25,47023.7,47243.3,30966005122
Dec92021,50450.08,50797.16,47358.35,47672.12,29603577251
Dec82021,50667.65,51171.38,48765.99,50504.8,28479699446
Dec72021,50581.83,51934.78,50175.81,50700.09,33676814852
Dec62021,49413.48,50929.52,47281.04,50582.63,37707308001
Dec52021,49201.52,49768.15,47857.5,49368.85,37198201161
Dec42021,53727.88,53904.68,42874.62,49200.7,61385677469
Dec32021,56509.16,57482.17,52496.59,53598.25,39789134215
Dec22021,57217.37,57349.23,55895.13,56477.82,32379968686
Dec12021,56907.96,59041.68,56553.08,57229.83,36858195307
Nov302021,57830.11,59113.4,56057.28,57005.43,36708594618
Nov292021,57291.91,58872.88,56792.53,57806.57,32370840356
Nov282021,54813.02,57393.84,53576.73,57248.46,28116886357
Nov272021,53736.43,55329.26,53668.36,54815.08,30560857714
Nov262021,58960.29,59183.48,53569.77,53569.77,41810748221
Nov252021,57165.42,59367.97,57146.68,57274.68,34284016248
Nov242021,57565.85,57803.07,55964.22,56280.43,36635566789
Nov232021,56304.55,57875.52,55632.76,57569.07,37485803899
Nov222021,58706.85,59266.36,55679.84,56289.29,35036121783
Nov212021,59730.51,60004.43,58618.93,58730.48,26123447605
Nov202021,58115.08,59859.88,57469.73,59697.2,30624264863
Nov192021,56896.13,58351.11,55705.18,58119.58,38702407772
Nov182021,60360.14,60948.5,56550.79,56942.14,41388338699
Nov172021,60139.62,60823.61,58515.41,60368.01,39178392930
Nov162021,63721.2,63721.2,59016.34,60161.25,46844335592
Nov152021,65521.29,66281.57,63548.14,63557.87,30558763548
Nov142021,64455.37,65495.18,63647.81,65466.84,25122092191
Nov132021,64158.12,64915.68,63303.73,64469.53,30474228777
Nov122021,64863.98,65460.82,62333.91,64155.94,36084893887
Nov112021,64978.89,65579.02,64180.49,64949.96,35880633236
Nov102021,66953.34,68789.63,63208.11,64995.23,48730828378
Nov92021,67549.73,68530.34,66382.06,66971.83,42357991721
Nov82021,63344.07,67673.74,63344.07,67566.83,41125608330
Nov72021,61554.92,63326.99,61432.49,63326.99,24726754302
Nov62021,61068.88,61590.68,60163.78,61527.48,29094934221
Nov52021,61460.08,62541.47,60844.61,61125.68,30605102446
Nov42021,62941.8,63123.29,60799.66,61452.23,32615846901
Nov32021,63254.34,63516.94,61184.24,62970.05,36124731509
Nov22021,60963.25,64242.79,60673.05,63226.4,37746665647
Nov12021,61320.45,62419,59695.18,61004.41,36150572843
Oct312021,61850.49,62406.17,60074.33,61318.96,32241199927
Oct302021,62239.36,62330.14,60918.39,61888.83,32157938616
Oct292021,60624.87,62927.61,60329.96,62227.96,36856881767
Oct282021,58470.73,62128.63,58206.92,60622.14,45257083247
Oct272021,60352,61435.18,58208.19,58482.39,43657076893
Oct262021,63032.76,63229.03,59991.16,60363.79,34878965587
Oct252021,60893.93,63729.32,60691.8,63039.82,31064911614
Oct242021,61368.34,61505.8,59643.34,60930.84,27316183882
Oct232021,60694.63,61743.88,59826.52,61393.62,26882546034
Oct222021,62237.89,63715.02,60122.8,60692.27,38434082775
Oct212021,66002.23,66600.55,62117.41,62210.17,45908121370
Oct202021,64284.59,66930.39,63610.68,65992.84,40788955582
Oct192021,62043.16,64434.54,61622.93,64261.99,40471196346
Oct182021,61548.8,62614.66,60012.76,62026.08,38055562075
Oct172021,60887.65,61645.52,59164.47,61553.62,29032367511
Oct162021,61609.53,62274.48,60206.12,60892.18,34250964237
Oct152021,57345.9,62757.13,56868.14,61593.95,51780081801
Oct142021,57372.83,58478.73,56957.07,57321.52,36615791366
Oct132021,56038.26,57688.66,54370.97,57401.1,41684252783
Oct122021,57526.83,57627.88,54477.97,56041.06,41083758949
Oct112021,54734.13,57793.04,54519.77,57484.79,42637331698
Oct102021,54952.82,56401.3,54264.26,54771.58,39527792364
Oct92021,53929.78,55397.95,53735.14,54968.22,32491211414
Oct82021,53802.14,55922.98,53688.05,53967.85,34800873924
Oct72021,55338.63,55338.63,53525.47,53805.98,36807860413
